id;name;inhabitants;postal_code;created_date
1;mobile Fish;77969;59865;2019-10-22
2;Dam;9997;5808;2019-10-23
3;seamless Metal deposit;5641;96990;2019-10-22
4;Implementation Electronics Officer;61748;30424;2019-10-22
5;Grocery Home;52477;61185;2019-10-23
6;Gorgeous Frozen Pants;23277;45606;2019-10-23
7;Savings Account syndicate Planner;46676;4645;2019-10-22
8;Yuan Renminbi Centers;1326;94888;2019-10-22
9;South Dakota envisioneer Music;23089;68423;2019-10-23
10;Bahamian Dollar Investment Account;83319;3438;2019-10-23
